condition,mean,month,n,sd,seed1,seed2,seed3
none,0.0,0,3,0.0,0.0,0.0,0.0
none,0.283333,1,3,0.152753,0.15,0.25,0.45
none,0.216667,2,3,0.076376,0.15,0.2,0.3
none,0.35,3,3,0.132288,0.2,0.45,0.4
none,0.3,4,3,0.05,0.25,0.35,0.3
none,0.366667,5,3,0.11547,0.3,0.3,0.5
none,0.266667,6,3,0.160728,0.2,0.15,0.45
none,0.233333,7,3,0.076376,0.15,0.25,0.3
none,0.233333,8,3,0.104083,0.15,0.2,0.35
none,0.25,9,3,0.05,0.25,0.2,0.3
none,0.283333,10,3,0.028868,0.25,0.3,0.3
none,0.333333,11,3,0.028868,0.35,0.35,0.3
none,0.333333,12,3,0.028868,0.35,0.35,0.3
none,0.35,13,3,0.05,0.35,0.3,0.4
none,0.316667,14,3,0.028868,0.3,0.3,0.35
none,0.333333,15,3,0.076376,0.25,0.35,0.4
none,0.25,16,3,0.05,0.2,0.3,0.25
none,0.316667,17,3,0.104083,0.2,0.35,0.4
none,0.3,18,3,0.05,0.3,0.35,0.25
none,0.266667,19,3,0.028868,0.25,0.3,0.25
none,0.3,20,3,0.05,0.3,0.25,0.35
none,0.25,21,3,0.1,0.15,0.25,0.35
none,0.283333,22,3,0.028868,0.3,0.25,0.3
none,0.25,23,3,0.086603,0.2,0.2,0.35
none,0.283333,24,3,0.028868,0.3,0.25,0.3
casework,0.0,0,3,0.0,0.0,0.0,0.0
casework,0.333333,1,3,0.104083,0.25,0.3,0.45
casework,0.283333,2,3,0.076376,0.2,0.3,0.35
casework,0.366667,3,3,0.076376,0.45,0.3,0.35
casework,0.316667,4,3,0.057735,0.25,0.35,0.35
casework,0.316667,5,3,0.076376,0.4,0.3,0.25
casework,0.383333,6,3,0.076376,0.3,0.4,0.45
casework,0.033333,7,3,0.057735,0.1,0.0,0.0
casework,0.066667,8,3,0.057735,0.1,0.0,0.1
casework,0.116667,9,3,0.028868,0.1,0.15,0.1
casework,0.083333,10,3,0.028868,0.1,0.05,0.1
casework,0.1,11,3,0.0,0.1,0.1,0.1
casework,0.083333,12,3,0.028868,0.1,0.1,0.05
casework,0.083333,13,3,0.028868,0.1,0.1,0.05
casework,0.116667,14,3,0.057735,0.15,0.15,0.05
casework,0.066667,15,3,0.028868,0.05,0.1,0.05
casework,0.033333,16,3,0.057735,0.1,0.0,0.0
casework,0.033333,17,3,0.028868,0.0,0.05,0.05
casework,0.133333,18,3,0.104083,0.05,0.1,0.25
casework,0.266667,19,3,0.028868,0.3,0.25,0.25
casework,0.266667,20,3,0.076376,0.2,0.25,0.35
casework,0.266667,21,3,0.057735,0.3,0.2,0.3
casework,0.233333,22,3,0.104083,0.2,0.35,0.15
casework,0.316667,23,3,0.028868,0.3,0.35,0.3
casework,0.3,24,3,0.0,0.3,0.3,0.3
timebank,0.0,0,3,0.0,0.0,0.0,0.0
timebank,0.266667,1,3,0.028868,0.3,0.25,0.25
timebank,0.25,2,3,0.1,0.15,0.25,0.35
timebank,0.333333,3,3,0.057735,0.4,0.3,0.3
timebank,0.25,4,3,0.05,0.2,0.3,0.25
timebank,0.216667,5,3,0.028868,0.2,0.25,0.2
timebank,0.316667,6,3,0.125831,0.2,0.3,0.45
timebank,0.3,7,3,0.05,0.3,0.35,0.25
timebank,0.2,8,3,0.0,0.2,0.2,0.2
timebank,0.366667,9,3,0.028868,0.35,0.35,0.4
timebank,0.116667,10,3,0.057735,0.15,0.15,0.05
timebank,0.2,11,3,0.05,0.25,0.2,0.15
timebank,0.266667,12,3,0.028868,0.3,0.25,0.25
timebank,0.2,13,3,0.05,0.2,0.15,0.25
timebank,0.233333,14,3,0.160728,0.3,0.35,0.05
timebank,0.233333,15,3,0.076376,0.3,0.25,0.15
timebank,0.2,16,3,0.05,0.2,0.25,0.15
timebank,0.316667,17,3,0.057735,0.35,0.35,0.25
timebank,0.333333,18,3,0.076376,0.35,0.4,0.25
timebank,0.283333,19,3,0.028868,0.3,0.3,0.25
timebank,0.266667,20,3,0.076376,0.35,0.25,0.2
timebank,0.266667,21,3,0.076376,0.25,0.2,0.35
timebank,0.266667,22,3,0.076376,0.25,0.35,0.2
timebank,0.25,23,3,0.0,0.25,0.25,0.25
timebank,0.2,24,3,0.05,0.25,0.15,0.2
platform,0.0,0,2,0.0,0.0,,0.0
platform,0.3,1,2,0.141421,0.2,,0.4
platform,0.325,2,2,0.035355,0.3,,0.35
platform,0.2,3,2,0.070711,0.25,,0.15
platform,0.2,4,2,0.070711,0.25,,0.15
platform,0.275,5,2,0.176777,0.15,,0.4
platform,0.325,6,2,0.106066,0.25,,0.4
platform,0.275,7,2,0.035355,0.25,,0.3
platform,0.225,8,2,0.035355,0.25,,0.2
platform,0.25,9,2,0.0,0.25,,0.25
platform,0.225,10,2,0.106066,0.3,,0.15
platform,0.225,11,2,0.106066,0.15,,0.3
platform,0.25,12,2,0.070711,0.2,,0.3
platform,0.175,13,2,0.035355,0.15,,0.2
platform,0.225,14,2,0.035355,0.25,,0.2
platform,0.25,15,2,0.0,0.25,,0.25
platform,0.175,16,2,0.106066,0.1,,0.25
platform,0.275,17,2,0.106066,0.2,,0.35
platform,0.275,18,2,0.035355,0.3,,0.25
platform,0.25,19,2,0.070711,0.2,,0.3
platform,0.275,20,2,0.035355,0.25,,0.3
platform,0.3,21,2,0.0,0.3,,0.3
platform,0.225,22,2,0.035355,0.2,,0.25
platform,0.275,23,2,0.035355,0.3,,0.25
platform,0.325,24,2,0.035355,0.3,,0.35
