condition,mean,month,n,sd,seed1,seed2,seed3
none,0.3969,0,2,0.027436,0.3775,,0.4163
none,0.38025,1,2,0.028779,0.3599,,0.4006
none,0.37745,2,2,0.017041,0.3654,,0.3895
none,0.38585,3,2,0.012374,0.3771,,0.3946
none,0.3688,4,2,0.028709,0.3485,,0.3891
none,0.3787,5,2,0.018385,0.3657,,0.3917
none,0.36655,6,2,0.034012,0.3425,,0.3906
none,0.36335,7,2,0.030618,0.3417,,0.385
none,0.3572,8,2,0.017253,0.345,,0.3694
none,0.36455,9,2,0.01393,0.3547,,0.3744
none,0.3718,10,2,0.016546,0.3601,,0.3835
none,0.3825,11,2,0.001273,0.3816,,0.3834
none,0.39225,12,2,0.001485,0.3912,,0.3933
none,0.40415,13,2,0.012092,0.4127,,0.3956
none,0.39725,14,2,0.002333,0.3956,,0.3989
none,0.4036,15,2,0.000566,0.404,,0.4032
none,0.39665,16,2,0.014779,0.4071,,0.3862
none,0.3974,17,2,0.00792,0.403,,0.3918
none,0.3968,18,2,0.006788,0.4016,,0.392
none,0.40075,19,2,0.010394,0.4081,,0.3934
none,0.4148,20,2,0.004667,0.4181,,0.4115
none,0.406,21,2,0.013859,0.3962,,0.4158
none,0.41425,22,2,0.010677,0.4067,,0.4218
none,0.4188,23,2,0.024042,0.4018,,0.4358
none,0.41335,24,2,0.023971,0.3964,,0.4303
casework,0.3972,0,2,0.036345,0.3715,,0.4229
casework,0.38735,1,2,0.029204,0.3667,,0.408
casework,0.38035,2,2,0.036416,0.3546,,0.4061
casework,0.37765,3,2,0.020577,0.3631,,0.3922
casework,0.3738,4,2,0.014566,0.3635,,0.3841
casework,0.3748,5,2,0.006081,0.3791,,0.3705
casework,0.37425,6,2,0.011526,0.3661,,0.3824
casework,0.32905,7,2,0.00997,0.322,,0.3361
casework,0.30445,8,2,0.016051,0.2931,,0.3158
casework,0.28925,9,2,0.017607,0.2768,,0.3017
casework,0.2792,10,2,0.011031,0.2714,,0.287
casework,0.2815,11,2,0.000707,0.281,,0.282
casework,0.2739,12,2,0.009192,0.2674,,0.2804
casework,0.28175,13,2,0.012799,0.2908,,0.2727
casework,0.2887,14,2,0.030406,0.3102,,0.2672
casework,0.299,15,2,0.029416,0.3198,,0.2782
casework,0.2775,16,2,0.017961,0.2902,,0.2648
casework,0.27495,17,2,0.014637,0.2853,,0.2646
casework,0.29425,18,2,0.007283,0.2891,,0.2994
casework,0.3277,19,2,0.011172,0.3198,,0.3356
casework,0.3464,20,2,0.022769,0.3303,,0.3625
casework,0.35695,21,2,0.028921,0.3365,,0.3774
casework,0.3532,22,2,0.014991,0.3426,,0.3638
casework,0.3616,23,2,0.012162,0.353,,0.3702
casework,0.37345,24,2,0.014354,0.3633,,0.3836
timebank,0.3736,0,3,0.048278,0.3755,0.3244,0.4209
timebank,0.3734,1,3,0.025592,0.3717,0.3487,0.3998
timebank,0.3663,2,3,0.016752,0.3541,0.3594,0.3854
timebank,0.364367,3,3,0.014679,0.3518,0.3608,0.3805
timebank,0.354867,4,3,0.014758,0.3384,0.3593,0.3669
timebank,0.350633,5,3,0.006352,0.3433,0.3544,0.3542
timebank,0.368033,6,3,0.018526,0.3501,0.3669,0.3871
timebank,0.361933,7,3,0.005315,0.3624,0.3564,0.367
timebank,0.351633,8,3,0.00575,0.3459,0.3574,0.3516
timebank,0.370233,9,3,0.004701,0.365,0.3741,0.3716
timebank,0.358667,10,3,0.00825,0.3551,0.3681,0.3528
timebank,0.355067,11,3,0.022663,0.376,0.3582,0.331
timebank,0.360267,12,3,0.017439,0.3766,0.3623,0.3419
timebank,0.363867,13,3,0.012877,0.378,0.3528,0.3608
timebank,0.360867,14,3,0.019209,0.3645,0.378,0.3401
timebank,0.3602,15,3,0.017737,0.368,0.3727,0.3399
timebank,0.364967,16,3,0.01968,0.3713,0.3807,0.3429
timebank,0.3674,17,3,0.018784,0.3732,0.3826,0.3464
timebank,0.380667,18,3,0.0161,0.3967,0.3808,0.3645
timebank,0.386933,19,3,0.009794,0.3946,0.3903,0.3759
timebank,0.389567,20,3,0.00225,0.3896,0.3918,0.3873
